realization	alpha	beta	mu	mu_low	lambda	delta	lambda_tilde	violation
12952	1.4142	1.4142	0.8284	-2.0000	0.0399	0.4142	0.0200	False
12953	1.0000	1.0000	0.0000	-5.0000	-0.0494	0.0000	-0.0099	False
12954	2.0000	2.0000	5.0000	-5.0000	0.6678	1.0000	0.1336	False
12955	0.8846	0.8846	-0.6921	-6.0000	0.0000	-0.1154	0.0000	False
12956	1.1072	1.1072	0.6430	-6.0000	-0.0938	0.1072	-0.0156	False
12957	1.4902	1.4902	2.4511	-5.0000	0.2888	0.4902	0.0578	False
12958	0.7071	0.7071	-0.8787	-3.0000	-0.0000	-0.2929	-0.0000	False
12959	0.7071	0.7071	-0.8787	-3.0000	-0.3246	-0.2929	-0.1082	False
12960	1.0000	1.0000	0.0000	-5.0000	-0.0000	0.0000	-0.0000	False
12961	1.1915	1.1915	1.7234	-9.0000	-0.0000	0.1915	-0.0000	False
12962	1.0000	1.0000	0.0000	-3.0000	-0.1786	-0.0000	-0.0595	False
12963	0.9165	0.9165	-0.3340	-4.0000	-0.0000	-0.0835	-0.0000	False
12964	1.0000	1.0000	0.0000	-8.0000	-0.0000	-0.0000	-0.0000	False
12965	1.6180	1.6180	3.0902	-5.0000	0.3694	0.6180	0.0739	False
12966	2.0000	2.0000	4.0000	-4.0000	0.4229	1.0000	0.1057	False
12967	1.4142	1.4142	1.6569	-4.0000	0.0280	0.4142	0.0070	False
12968	1.7693	1.7693	3.8465	-5.0000	0.3615	0.7693	0.0723	False
12969	1.1547	1.1547	0.7735	-5.0000	0.0000	0.1547	0.0000	False
12970	1.4142	1.4142	1.2426	-3.0000	0.1177	0.4142	0.0392	False
12971	1.4142	1.4142	0.4142	-1.0000	0.3302	0.4142	0.3302	False
12972	1.0000	1.0000	0.0000	-4.0000	0.0000	-0.0000	0.0000	False
12973	2.0000	2.0000	6.0000	-6.0000	0.3825	1.0000	0.0637	False
12974	1.0000	1.0000	0.0000	-2.0000	0.0000	0.0000	0.0000	False
12975	1.4142	1.4142	2.4853	-6.0000	0.0272	0.4142	0.0045	False
12976	2.0000	2.0000	4.0000	-4.0000	0.2544	1.0000	0.0636	False
12977	1.4142	1.4142	2.4853	-6.0000	0.1714	0.4142	0.0286	False
12978	0.8756	0.8756	-0.3733	-3.0000	0.0000	-0.1244	0.0000	False
12979	1.4142	1.4142	1.6569	-4.0000	0.0389	0.4142	0.0097	False
12980	1.4142	1.4142	1.2426	-3.0000	0.0342	0.4142	0.0114	False
12981	1.4902	1.4902	1.9609	-4.0000	0.0000	0.4902	0.0000	False
12982	1.2056	1.2056	1.0278	-5.0000	0.0226	0.2056	0.0045	False
12983	1.0361	1.0361	0.1082	-3.0000	-0.0000	0.0361	-0.0000	False
12984	1.5468	1.5468	2.7341	-5.0000	0.0901	0.5468	0.0180	False
12985	1.4142	1.4142	1.6569	-4.0000	0.0397	0.4142	0.0099	False
12986	1.5167	1.5167	1.5501	-3.0000	0.3450	0.5167	0.1150	False
12987	2.0000	2.0000	6.0000	-6.0000	0.3952	1.0000	0.0659	False
12988	1.4142	1.4142	2.0711	-5.0000	0.2144	0.4142	0.0429	False
